,GENRE_BOTA,ESPECE
0,Acer,saccharinum
1,Albizzia,julibrissin
2,Catalpa,bignonioïdes
3,Ginko,biloba
4,Gleditsia,triacanthos
5,Koelreuteria,paniculata
6,Laburnum,anagyroïdes
7,Paulownia,tomentosa
8,Prunus,pissardi
9,Sophora,Japonica
10,Acer,Platanoides
11,Acer,Pseudoplatanus
12,Betula,costata
13,Betula,davurica
14,Betula,jacquemontii
15,Betula,lenta
16,Betula,pendula
17,Betula,maximowicziana
18,Betula,pubescens
19,Betula Utilis,utilis
20,Cryptomeria,Japonica
21,Cupressus,cashmeriana
22,Davidia,involucrata
23,Fagus,sylvatica
24,Juglans,Nigra
25,Juglans,ailantifolia
26,Liriodendron,tulipifera
27,Magnolia,grandiflora
28,Nerium,oleander
29,Picea,abies
30,Populus,Alba
31,Quercus,bicolor
32,Quercus,macrocarpa
33,Quercus,Nigra
34,Quercus,ruba
35,Quercus,Alba
36,Salix,gracolistyla
37,Salix,daphnoides
38,Salix,cinerea
39,Salix,arenaria
40,Salix,Alba
41,Salix,acutifolia
42,Sorbus,aucuparia
43,Aesculus,
44,Fraxinus,
45,Platanus,
46,Ailanthus,Altissima
47,Robinia,Pseudoacacia
48,Acer,Negundo
49,Platanus,Acerifolia
50,Acer,Platanoides
51,Acer,Pseudoplatanus
52,Betula,
53,Castanea,
54,Cupressus,
55,Fraxinus,
56,Olea,
57,Platanus,
